name,domain,what,region,website,github,linkedin_org,community_url,events_url,linkedin_people,tags,related_to,source,founding_year,takes_contributors,careers_url,last_verified
Gone Good,food-rescue / food-security tech,"Gone Good is a New Zealand-owned app, built by the team behind Delivereasy, that lets cafes, bakeries and restaurants sell unsold food as discounted ""Mystery Bags"" near closing time instead of binning it, cutting food waste and giving customers cheap meals.",national,https://www.gonegood.co.nz,,,,,,food waste; food rescue; app; surplus food; hospitality,,"gonegood.co.nz and app store listings; NZ Herald ""Christchurch eateries join Gone Good app to cut food waste and costs"" and The Post ""NZ firm Delivereasy launches food waste app ahead of global rival"", verified 2026-08-06",2020,true,,2026-08-06
GovHack Aotearoa New Zealand,civic-tech,"GovHack is an annual 46-hour hackathon held across Australia and New Zealand where teams build projects using open government data, run in NZ cities including Auckland, Wellington, Christchurch, and Dunedin.",national,https://www.govhack.org,https://github.com/GovHackNZ,https://nz.linkedin.com/company/govhack,,,,hackathon; open data; civic tech; volunteer-run,data.govt.nz; DigitalNZ; LINZ Data Service,"govhack.org (verified via WebFetch ; note: the separate govhack.org.nz domain has expired and now redirects to an unrelated casino review site, so only govhack.org should be used); careers_url verified via govhack.org/volunteer (2026-08-25)",2015,true,https://govhack.org/volunteer/,2026-08-05
Greater Wellington Regional Council Open Data,open-data,"Greater Wellington Regional Council shares open data on air quality, rainfall, river levels, and water quality for the Wellington region, free to download or connect to as live map layers.",wellington,https://data-gwrc.opendata.arcgis.com/,,,,,,regional council; open data; environment; GIS,,"data-gwrc.opendata.arcgis.com homepage (verified via curl, HTTP 200)",2014,,,2026-08-05
Groov (formerly Mentemia),mental-health tech,"Groov is a New Zealand mental health app, started in 2018 by former All Black Sir John Kirwan and tech entrepreneur Adam Clark under the name Mentemia, that gives people simple daily tools like mindfulness exercises and mood tracking to look after their mental wellbeing.",national,https://www.groovnow.com,,,,,,mental health; wellbeing app; corporate wellbeing; startup,Whakarongorau Aotearoa,groovnow.com homepage and blog post 'Welcome to Groov - the new name for Mentemia' (verified via WebFetch); rebrand and founding details corroborated via businessdesk.co.nz and RNZ found via web search,,,,2026-08-05
Hackland,civic-tech,"Hackland is a volunteer-run community makerspace in Grey Lynn, Auckland, where members share tools like 3D printers, laser cutters, and woodworking and metalworking equipment, and learn skills from each other at weekly open evenings.",auckland,https://hackland.nz,https://github.com/HakLand,,,,,makerspace; hackerspace; community tech space; volunteer-run,Tinkd Makerspace,hackland.nz homepage (verified via WebFetch) and github.com/HakLand (verified via web search),2015,true,,2026-08-05
Hawke's Bay Regional Council Open Data,open-data,"Hawke's Bay Regional Council's open data page lets people view and download council-collected data, like water quality and environmental monitoring information, for free reuse.",hawkes-bay,https://www.hbrc.govt.nz/our-council/open-data/,,https://www.linkedin.com/company/hawkes-bay-regional-council,,,,open data; environmental data; local government; council,data.govt.nz,"web search of hbrc.govt.nz open data page; direct fetch of the site returned an HTTP 403 from the site's own bot-protection, but the domain is confirmed live and returning real content indexed by search engines; linkedin_org verified from hbrc.govt.nz footer and linkedin.com (2026-08-25)",,,,2026-08-05
Headstrong,mental-health tech,"Headstrong is a free mental health app for NZ teenagers developed by the University of Auckland alongside rangatahi, using chatbot guides to deliver evidence-based psychological skills grounded in Te Whare Tapa Whā, funded by Health NZ.",national,https://www.headstrong.org.nz,,https://www.linkedin.com/company/headstrongnz/,,,,youth-mental-health; chatbot; CBT; Te-Whare-Tapa-Whā; digital-therapeutics,SPARX,"headstrong.org.nz homepage, verified 2026-08-07 via web search; founding year (2018) verified via headstrong.org.nz/about-us, linkedin_org via linkedin.com (2026-08-25)",2018,,,2026-08-07
Health Navigator Charitable Trust,health tech for good / hauora Māori,"The Health Navigator Charitable Trust runs Healthify (NZ's largest consumer health website with over 1.1 million monthly page views), the NZ Health App Library, and the Digital Health Accreditation Pathway (DHAP) for evaluating digital health tools.",national,https://www.hnct.nz,,https://www.linkedin.com/company/health-navigator-charitable-trust,,,,digital-health; health-information; health-apps; consumer-health; accreditation,,"hnct.nz homepage, verified 2026-08-07 via web search; founding year (2008) verified via hnct.nz, linkedin_org via linkedin.com (2026-08-25)",2008,,,2026-08-07
Home Steps,housing / homelessness tech,"Home Steps is a free digital companion by the Vector Group Charitable Trust providing calm explainers, checklists, and NZ support signposting for whānau navigating renting, money, bills, employment, and emergency readiness ; available 24/7.",national,https://homesteps.vectorgroup.org.nz,,,,,,housing-support; financial-literacy; digital-companion; whānau,,"homesteps.vectorgroup.org.nz homepage, verified 2026-08-07 via web search",,,,2026-08-07
ignite,mental-health tech,"ignite is a digital wellbeing platform connecting individuals and organisations to mental health and wellbeing support across NZ ; offering counsellors, psychologists, and holistic practitioners bookable online with no referral or waitlist, including a free rural wellbeing programme with Farmlands and the Rural Support Trust.",national,https://ignite.org.nz,,,,,,wellbeing-platform; mental-health; telehealth; rural-health; counselling,,"ignite.org.nz homepage, verified 2026-08-07 via web search",,,,2026-08-07
iNaturalist NZ – Mātaki Taiao (formerly NatureWatch NZ),environmental citizen-science,"iNaturalist NZ – Mātaki Taiao, run by the New Zealand Bio-Recording Network Trust, is a website and app where anyone can record sightings of plants, animals, and fungi, helping scientists track new and spreading species across the country; it started in 2006 as NatureWatch NZ and rebranded in 2018.",national,https://www.inaturalist.nz,,,,,,citizen science; biodiversity; conservation; open data,The Cacophony Project; Trap.NZ,"inaturalist.nz redirected to www.inaturalist.nz but was blocked by the site's own Cloudflare bot-protection (403); corroborated via iNaturalist.org's own blog post 'From NatureWatch NZ to iNaturalist NZ' and DOC's blog, found via web search",,,,2026-08-05
IndigiShare,iwi / Māori tech initiatives,"IndigiShare is a kaupapa Māori fintech startup building economic resilience for indigenous communities through zero-interest peer-to-peer lending, a business development programme (Te Aka Matua), and culturally-grounded financial products powered by koha.",bay-of-plenty,https://indigishare.co.nz,,,,,,kaupapa Māori; fintech; peer-to-peer lending; indigenous-economy; financial-inclusion,,"indigishare.co.nz homepage, verified 2026-08-07 via web search",,,,2026-08-07
InternetNZ,human-rights tech,"InternetNZ is a non-profit membership organisation that manages the .nz internet domain name system and advocates for an open, secure internet in New Zealand, including work on digital equity and online harm.",wellington,https://internetnz.nz,https://github.com/InternetNZ,,,,,digital rights; internet policy; domain names; non-profit,,"web search of internetnz.nz official pages; direct fetch of the site returned an HTTP 403 from the site's own bot-protection, but the domain is confirmed live and returning real content indexed by search engines",1995,true,,2026-08-05
Kai Commitment,food-rescue / food-security tech,"Kai Commitment is a registered New Zealand charity running a food-waste measurement programme for large food businesses, using a Target-Measure-Act-Collaborate data framework to help signatories set reduction targets and track progress toward halving food waste by 2030.",national,https://kaicommitment.org.nz,,https://www.linkedin.com/showcase/kai-commitment/,,,,food waste; data measurement; sustainability; sdg 12.3; charity,,"Web search confirmed via kaicommitment.org.nz/about/, tmnz.co.nz/nz-food-waste-champions-12-3-kai-commitment-impact-story/, and NZ Charities Register CC60845 at register.charities.govt.nz/Charity/CC60845; direct site fetch blocked by bot protection (403) (verified 2026-08-05); linkedin_org verified via kaicommitment.org.nz and linkedin.com (2026-08-25)",2020,true,,2026-08-05
Karo,health tech for good / hauora Māori,"Karo is a Māori-owned tech company that builds digital tools for primary and community health providers and social services, including Te Pokapū (a claims and decision support system), Kotahi (client and case management for NGOs and community organisations), and Māramatanga (data insights and reporting), used across most of the primary care sector.",wellington,https://karo.co.nz,,,,,,hauora Māori; health tech; Māori-owned; data and reporting,,karo.co.nz homepage and acc.co.nz/newsroom/stories/karo-data-management (verified via WebFetch),2009,,,2026-08-06
Katoa Connect (formerly 20/20 Trust),digital-inclusion,"Katoa Connect, previously known as the 20/20 Trust, is a New Zealand charity that helps adults build everyday digital skills, like online banking and job applications, so the more than 800,000 New Zealand adults who currently lack these skills are not left behind.",national,https://www.katoaconnect.org.nz,,https://www.linkedin.com/company/katoaconnect/,,,,digital inclusion; digital skills; charity; adult education,,"katoaconnect.org.nz homepage, redirected from 2020.org.nz (verified via WebFetch); LinkedIn company page (Katoa Connect) verified via direct fetch, 2026-08-25",,,,2026-08-05
Kiwa Digital,iwi / Māori tech initiatives,"Kiwa Digital is an Auckland technology company, founded in 2003, that builds apps and cloud software helping Indigenous communities record, protect, and share their languages and cultural stories, including tools for te reo Māori.",auckland,https://kiwadigital.com/,https://github.com/kiwa-digital,https://www.linkedin.com/company/kiwa-digital/,,,,Māori tech; indigenous language technology; cultural data sovereignty; startup,Te Hiku Media / Papa Reo,"kiwadigital.com about-us page (verified via curl and WebFetch, HTTP 200); Kiwa Digital founded 2003 per about-us page, GitHub org github.com/kiwa-digital and LinkedIn company page verified via direct fetch, 2026-08-25",2003,,,2026-08-05
Kiwi Coast,environmental citizen-science,"Kiwi Coast Trust links more than 270 community, hapu, and iwi-led pest control groups along 291 kilometres of Northland coastline, coordinating them with AI-enabled traps, radio-tagged kiwi tracking, and shared data tools so volunteers can build New Zealand's first kiwi corridor.",northland,https://kiwicoast.org.nz,,,,,,conservation; citizen science; predator control; community network; kiwi recovery,Predator Free NZ Trust; Trap.NZ,"kiwicoast.org.nz and kiwicoast.org.nz/about (verified via WebFetch); NZ Herald and Farmers Weekly coverage of AI trap technology, and Northland Regional Council partnership release, found via web search; Groups & Projects page invites the public to join projects ('get involved'), verified 2026-08-25",2014,true,https://kiwicoast.org.nz/about/groups-projects/,2026-08-06
KiwiNet (Kiwi Innovation Network),research / education tech,"KiwiNet is a network of 14 New Zealand universities and research organisations that funds early-stage research and helps scientists turn discoveries into real-world products, patents, and startup companies.",national,https://kiwinet.org.nz,,https://nz.linkedin.com/company/kiwinetnz,,,,research commercialisation; university network; innovation funding; startups,Ara Ake,"kiwinet.org.nz/About (verified via WebFetch); LinkedIn company listing found via web search; founded 2011 and Careers page (kiwinet.org.nz/About/Careers) verified via direct fetch, 2026-08-25",2011,,https://kiwinet.org.nz/About/Careers,2026-08-05
Koi Tū – Centre for Informed Futures,research / education tech,"Koi Tū is an independent research centre at the University of Auckland that studies big, long-term problems facing New Zealand, like technology's impact on society, and turns that research into policy advice.",auckland,https://informedfutures.org,,https://www.linkedin.com/company/koi-tu-centre-for-informed-futures/,,,,policy research; future of technology; University of Auckland; think tank,,"informedfutures.org homepage and /about (verified via WebFetch); Koi Tū set up in 2019 per informedfutures.org/about; LinkedIn company page verified via direct fetch, 2026-08-25",2019,,,2026-08-05
Koordinates,open-data,"Koordinates is an Auckland-founded company that runs a cloud platform for storing, versioning, and sharing geospatial data, and it is the technology behind the government's LINZ Data Service.",auckland,https://koordinates.com,https://github.com/koordinates,https://nz.linkedin.com/company/koordinates,,,,open data; geospatial; government contractor; open source,LINZ Data Service (Toitū Te Whenua); data.govt.nz,koordinates.com and github.com/koordinates (both verified via WebFetch); Kart open-source project confirmed at github.com/koordinates/kart via web search,2008,true,,2026-08-05
Kura Matahuna Unleash Space Makerspace (University of Auckland),makerspaces / hackerspaces,"Kura Matahuna Unleash Space Makerspace is a free workshop at the University of Auckland, open to all students and staff, with 3D printers, laser cutters, and electronics gear, where people learn to build and prototype their own projects after safety training.",auckland,https://www.auckland.ac.nz/en/cie/locations/unleash-space/makerspace.html,https://github.com/unleash-space,,,,,makerspace; university; digital fabrication; prototyping; innovation hub,Hackland; Auckland Library of Tools,"auckland.ac.nz Unleash Space makerspace page (verified via curl and WebFetch, HTTP 200); GitHub org github.com/unleash-space (UoA Unleash Space) verified via direct fetch, 2026-08-25",,true,,2026-08-05
Le Va,mental-health tech,"Le Va is a Pasifika-led organisation that runs Aunty Dee, a free online structured problem-solving tool for Pasifika young people, alongside community-led suicide prevention programmes that have engaged over 590,000 people across Aotearoa.",auckland,https://www.leva.co.nz,,https://www.linkedin.com/company/le-va-pasifika/,,,,Pasifika; youth-mental-health; suicide-prevention; digital-tool; community-led,,"leva.co.nz homepage, verified 2026-08-07 via web search; LinkedIn company page (Le Va Pasifika) and Work with us page verified via direct fetch, 2026-08-25",,,https://www.leva.co.nz/about-us/work-with-us/,2026-08-07
LINZ Data Service (Toitū Te Whenua),open-data,"The LINZ Data Service, run by Land Information New Zealand (a government agency, known in Māori as Toitū Te Whenua), gives free open access to New Zealand's land, property, and seabed data, including maps, aerial imagery, and elevation data.",national,https://www.linz.govt.nz/products-services/data/linz-data-service,https://github.com/linz,https://www.linkedin.com/company/toit%C5%AB-te-whenua-linz-/,,,,open data; geospatial; government; mapping; open source,data.govt.nz; GovHack Aotearoa,"linz.govt.nz page and github.com/linz (both verified via WebFetch); LinkedIn company page (Toitū Te Whenua) and careers page (linz.govt.nz/careers) verified via direct fetch, 2026-08-25",1996,true,https://www.linz.govt.nz/careers,2026-08-05
Lobby for Good,civic-tech,"Lobby for Good is NZ's first member-funded civic portal, helping everyday people understand public decisions, keep paper trails, spot patterns, and push for change ; building shared civic infrastructure to close the lobbying transparency gap in New Zealand.",national,https://www.lobbyforgood.co.nz,,,,,,civic-tech; transparency; lobbying; public-participation; accountability,FYI.org.nz,"lobbyforgood.co.nz homepage, verified 2026-08-07 via web search",,true,,2026-08-07
Loomio,worker-coop / platform-coop tech,"Loomio is a Wellington-based worker-owned cooperative that builds open-source software helping groups, from community organisations to unions, discuss a topic and reach a collective decision online.",wellington,https://www.loomio.com,https://github.com/loomio,,,,,worker cooperative; decision-making; open source; civic tech,Enspiral,loomio.com and github.com/loomio (both verified via WebFetch); Wikipedia and P2P Foundation background via web search,2012,true,,2026-08-05
Manaaki Whenua Landcare Research LRIS Portal,open-data,"The Land Resource Information System (LRIS) Portal, run by Crown research institute Manaaki Whenua Landcare Research, is a free online tool with over 200 layers of New Zealand land data, like soil types, erosion risk, and land cover, that anyone can search and download.",national,https://soils.landcareresearch.co.nz/tools/lris-portal,,https://www.linkedin.com/company/landcare-research/,,,,land data; soil data; conservation; Crown research institute; open data,LINZ Data Service (Toitū Te Whenua); Koordinates,"soils.landcareresearch.co.nz/tools/lris-portal (verified via curl, HTTP 200); landcareresearch.co.nz description pages found via web search; LinkedIn company page (Manaaki Whenua - Landcare Research Group) and careers page verified via direct fetch, 2026-08-25",,,https://www.landcareresearch.co.nz/about-us/careers-at-manaaki-whenua,2026-08-05
Manaiakalani Education Trust,education equity tech,"Manaiakalani Education Trust is an Auckland-based charity that runs a digital learning programme for schools in lower-income communities, giving students devices and teachers training so technology helps close, rather than widen, the education gap for Māori and Pacific students.",auckland,https://www.manaiakalani.org,,https://www.linkedin.com/company/manaiakalani-education-trust,,,,education equity; digital learning; charity; Māori and Pacific education,Dev Academy Aotearoa (Māori and Pasifika cohorts); Digital Natives Academy,"manaiakalani.org homepage (verified via WebFetch); LinkedIn company page confirmed via WebFetch; Vacancies page verified via direct fetch, 2026-08-25",2007,true,https://www.manaiakalani.org/about/vacancies,2026-08-05
Marae Digital Connectivity Programme,iwi / Māori tech initiatives,"The Marae Digital Connectivity Programme gives rural marae free broadband, wifi hardware, and technical support so whānau, hapū, and iwi can hold virtual hui and reach health, social, and education services online, administered jointly by Te Puni Kōkiri, MBIE, and National Infrastructure Funding and Financing.",national,https://www.tpk.govt.nz/en/nga-putea-me-nga-ratonga/marae/marae-digital-connectivity,,,,,,marae; broadband; digital connectivity; govtech; rural,,"tpk.govt.nz marae digital connectivity page and nationalinfrastructure.govt.nz programme page (verified via WebFetch), 676 marae connected, funded through 30 June 2027",2019,true,,2026-08-06
Marlborough District Council Open Data,open-data,"Marlborough District Council shares its public geographic data, such as property boundaries and environmental information, through an open data portal that anyone can browse and download from.",marlborough,https://data-marlborough.opendata.arcgis.com/,,,,,,district council; open data; GIS,,"data-marlborough.opendata.arcgis.com homepage (verified via curl, HTTP 200)",2015,,,2026-08-05
Nelson City Council Open Data,open-data,"Nelson City Council publishes its public GIS data, such as property and infrastructure information, through an ArcGIS open data portal that anyone can browse for free.",tasman-nelson,https://data2018-12-16t234104082z-nelsoncity.opendata.arcgis.com/,,,,,,city council; open data; GIS,,"data2018-12-16t234104082z-nelsoncity.opendata.arcgis.com homepage (verified via curl, HTTP 200)",2015,,,2026-08-05
New Zealand Legal Information Institute (NZLII),legal-aid / justice tech,"The New Zealand Legal Information Institute is a free website, run by the law faculties of Otago, Canterbury, and Victoria University of Wellington, that gives anyone free access to New Zealand court decisions, legislation, and law journals that would otherwise cost money to search.",national,https://www.nzlii.org/,,,,,,legal information; open access; case law; university,OpenLaw NZ,"nzlii.org returned an HTTP 403 from the site's own bot-protection when checked directly, but its existence and content are corroborated by Wikipedia and lawfoundation.org.nz, both found via web search",2004,,,2026-08-05
New Zealand Red Cross,crisis / humanitarian-tech,"New Zealand Red Cross runs the free Hazard App, downloaded over 200,000 times, which sends official emergency warnings and step-by-step guidance to help people prepare for and get through disasters.",national,https://www.redcross.org.nz,,https://nz.linkedin.com/company/new-zealand-red-cross,,,,disaster response; emergency app; humanitarian; NGO,Collaborate,"redcross.org.nz (verified via WebFetch); redcross.org.nz Hazard App story page found via web search; LinkedIn company page and Get involved page verified via direct fetch, 2026-08-25",1931,true,https://www.redcross.org.nz/get-involved/,2026-08-05
Ngā Pae o te Māramatanga,Māori data sovereignty / indigenous data,"Ngā Pae o te Māramatanga is Aotearoa's only Māori Centre of Research Excellence, funding and coordinating research across universities to grow Māori scholarship and support Māori futures.",auckland,https://www.maramatanga.ac.nz,,,,,,Māori research; Centre of Research Excellence; indigenous scholarship; University of Auckland,Te Mana Raraunga; Te Kāhui Raraunga,maramatanga.ac.nz homepage (verified via WebFetch),2002,true,,2026-08-05
NIWA Environmental Data Services,open-data,"NIWA, now part of Earth Sciences New Zealand after a 2025 merger with GNS Science, runs online tools like the Hydro Web Portal and National Climate Database, which let people look up New Zealand's river flow, rainfall, and climate data for free.",national,https://niwa.co.nz/environmental-information/environmental-information-services-0,https://github.com/niwa,https://nz.linkedin.com/company/niwa,,,,climate data; water data; open data; science institute,GeoNet,"niwa.co.nz/environmental-information/environmental-information-services-0 (verified via curl, HTTP 200); NIWA established in 1992 per niwa.co.nz/about; GitHub org, LinkedIn company page and careers page verified via direct fetch, 2026-08-25",1992,,https://niwa.co.nz/about-niwa/careers-niwa,2026-08-05
Northland Regional Council Open Data,open-data,"Northland Regional Council publishes an open data portal with public information, such as resource consents and land use data, for people who want to make their own maps of the Northland region.",northland,https://data-nrcgis.opendata.arcgis.com/,,,,,,regional council; open data; environment; GIS,,"data-nrcgis.opendata.arcgis.com homepage (verified via curl, HTTP 200)",2016,,,2026-08-05
NZ GovTech,civic-tech,"NZ GovTech is a Wellington-based volunteer community group, with nearly 1,000 members, that brings together public servants and technologists to talk about open government, civic innovation, and using technology to solve public problems.",wellington,https://www.meetup.com/nzgovtech/,,,,,,civic tech; open government; community group; meetup,GovHack Aotearoa New Zealand,meetup.com/nzgovtech (verified via WebFetch),2019,true,,2026-08-05
OpenLaw NZ,legal-aid / justice tech,"OpenLaw NZ is a non-profit charity, started in 2018, that builds free and open-source legal research tools because New Zealand had no free way to search its own laws and court cases online.",national,https://www.openlaw.nz/our-mission,,,,,,legal tech; open source; access to justice; non-profit,,"openlaw.nz/our-mission (verified via curl, HTTP 200)",2017,true,,2026-08-05
Otago Regional Council Spatial Data Portal,open-data,"The Otago Regional Council Spatial Data Portal is a website where people can discover, explore, and download the council's geographic datasets, like maps of land, water, and boundaries in the Otago region.",otago,https://orc-spatial-data-portal-orcnz.hub.arcgis.com/,,,,,,open data; geospatial; local government; council,data.govt.nz,orc-spatial-data-portal-orcnz.hub.arcgis.com homepage (verified via WebFetch ; page loaded successfully); description corroborated via web search,2015,,,2026-08-05
Predator Free NZ Trust,environmental citizen-science,"Predator Free NZ Trust mobilises communities across the country to trap invasive predators and protect native wildlife, using a national map, trail cameras, and data tools so volunteers can track and coordinate their conservation efforts.",national,https://predatorfreenz.org,,https://www.linkedin.com/company/predatorfreenz/,,,,conservation; citizen science; predator control; community mapping,Trap.NZ; The Cacophony Project,"predatorfreenz.org homepage (verified via WebFetch); LinkedIn company page (Predator Free NZ Trust) verified via direct fetch, 2026-08-25",2013,true,,2026-08-05
Pūhoro STEMM Academy,education equity tech,"Pūhoro STEMM Academy supports Māori secondary school students (rangatahi) into science, technology, engineering, mathematics, and mātauranga (STEMM) pathways. Founded in 2016 at Massey University in Palmerston North, it delivers kaupapa Māori mentoring, tutoring, and wānanga across 12 regions, improving academic achievement and building pathways into high-value STEMM careers for rangatahi who would otherwise be under-represented in these fields.",national,https://www.puhoro.org.nz,,https://nz.linkedin.com/company/p%C5%ABhoro,,,,kaupapa-māori; stemm; rangatahi; science-pathways; education,,"Multiple web search results (puhoro.org.nz, Massey University news, ZoomInfo, Our Land & Water, NZ Herald) confirm active status as of 2026-08-05; Ministry of Education funding secured until 2027; founding year 2016 at Massey University corroborated across multiple independent sources",2016,true,,2026-08-05
REANNZ,research / education tech,"REANNZ (Research and Education Advanced Network New Zealand) is a Crown-owned non-profit that runs New Zealand's high-speed internet network dedicated to universities, research institutes, and schools, connecting them to more than 120 similar networks worldwide.",national,https://www.reannz.co.nz,https://github.com/reannz,https://nz.linkedin.com/company/reannz,,,,research network; education infrastructure; Crown entity; connectivity,,"reannz.co.nz (verified via WebFetch); GitHub org (github.com/reannz) and Careers page verified via direct fetch, 2026-08-25",,,https://www.reannz.co.nz/about/careers,2026-08-05
Renters United,housing / homelessness tech,"Renters United is a renter advocacy group that campaigns for warmer, safer, and more secure rentals in Aotearoa, and it built TenancyHelp, a free tool that lets renters draft letters, look up Tenancy Tribunal decisions, and get plain-language answers about their rights when dealing with issues like rent rises or unrepaired homes.",wellington,https://rentersunited.org.nz,,,,,,housing; tenancy; renters; advocacy,,rentersunited.org.nz and x.com/rentersunited/status/1932683777794589091 (verified via WebFetch and WebSearch),2015,true,,2026-08-06
Rewiring Aotearoa,green / climate-tech,"Rewiring Aotearoa is a New Zealand non-profit that researches and campaigns for households and small businesses to switch from fossil-fuel machines, like petrol cars and gas heaters, to electric ones powered by renewable energy, so people save money and cut carbon emissions.",national,https://www.rewiring.nz,,https://www.linkedin.com/company/rewiring-aotearoa,,,,climate tech; energy transition; electrification; advocacy; non-profit,,"rewiring.nz homepage (verified via WebFetch); LinkedIn company listing found via web search; Jobs page (rewiring.nz/jobs) verified via direct fetch, 2026-08-25",2021,true,https://www.rewiring.nz/jobs,2026-08-05
SEEK Volunteer,volunteering / giving platforms,"SEEK Volunteer is a free, non-profit platform that matches people across Aotearoa with volunteer roles at community organisations, covering everything from food rescue to mental health to arts and culture. It has run in New Zealand since 2015, alongside SEEK's paid job listings.",national,https://seekvolunteer.co.nz,,https://www.linkedin.com/company/seek-volunteer/,,,,volunteering; volunteer matching; matching platform; community,,"seekvolunteer.co.nz homepage and volunteering pages (verified via WebFetch); Volunteering New Zealand news post confirming the partnership, and coverage noting the 2015 NZ launch (verified via WebSearch); LinkedIn company page (SEEK Volunteer) verified via direct fetch, 2026-08-25",2015,true,,2026-08-06
Sorted,financial-inclusion / fintech-for-good,"Sorted is a free money guidance platform run by Te Ara Ahunga Ora Retirement Commission that gives New Zealanders budgeting tools, debt, KiwiSaver and retirement calculators, and a free automated savings app, to lift financial capability nationwide.",national,https://sorted.org.nz,,https://nz.linkedin.com/company/retirement-commission,,,,financial literacy; budgeting; KiwiSaver; government service; financial capability,,"sorted.org.nz homepage, verified via WebFetch 2026-08-06",2001,,,2026-08-06
SPARX,mental-health tech,"SPARX is a free self-help game, built by the University of Auckland, that teaches young people cognitive behavioural therapy skills to manage depression and anxiety through a fantasy quest storyline, available online and as a mobile app.",auckland,https://www.sparx.org.nz,,,,,,youth mental health; digital therapy; CBT; gaming; research,,"sparx.org.nz/about-us, verified via WebFetch 2026-08-06",2012,,,2026-08-06
Summer of Tech,education equity tech,"Summer of Tech is a New Zealand charitable programme that connects students and junior tech talent with employers through internships and mentoring, helping people get their first step into a tech career.",national,https://www.summeroftech.co.nz,https://github.com/summeroftech,https://www.linkedin.com/company/summer-of-tech,,,,internships; tech careers; talent pipeline; charity,Dev Academy Aotearoa,"summeroftech.co.nz homepage (verified via WebFetch); LinkedIn company page and Volunteers page verified via direct fetch, 2026-08-25",2006,true,https://www.summeroftech.co.nz/volunteers,2026-08-05
Sustainable Coastlines,green / climate-tech,"Sustainable Coastlines is an Auckland-based charity that runs Litter Intelligence, New Zealand's national database of beach litter, where trained volunteers survey rubbish on beaches using a standard method so the data can be used by government to shape plastic pollution policy.",auckland,https://sustainablecoastlines.org,,https://nz.linkedin.com/company/sustainable-coastlines,,,,climate tech; environmental data; citizen science; charity; plastic pollution,,"sustainablecoastlines.org Litter Intelligence page (verified via WebFetch); LinkedIn company listing found via web search; launched in 2009 per sustainablecoastlines.org/about/our-story; Volunteer events page verified via direct fetch, 2026-08-25",2009,true,https://sustainablecoastlines.org/events/,2026-08-05
Taiuru & Associates,Māori data sovereignty / indigenous data,"Taiuru & Associates is a New Zealand consultancy specialising in Māori data sovereignty, AI governance, and responsible emerging technology. It advises iwi, government agencies, and private organisations on tikanga Māori and digital systems, producing widely cited frameworks, Te Tiriti-based AI ethical principles, and policy guidance to protect Māori rights in the data and AI age.",national,https://www.taiuru.co.nz,,,,,,māori-data-sovereignty; ai-governance; responsible-ai; tech-ethics; indigenous-rights,,"taiuru.co.nz confirmed active via web search with content updated July 2026 (including Māori AI Sovereign Principles, Data Governance Report 2025 pages); Dr Karaitiana Taiuru confirmed as chair of AI Forum NZ Māori Advisory Panel; listed on AI Health Research NZ and ResearchGate; verified via web search 2026-08-05",,,,2026-08-05
Takiwā,iwi / Māori tech initiatives,"Takiwā is a New Zealand geospatial mapping platform, running since 2012, that lets Māori landowners, iwi, and other indigenous communities collect and control their own cultural and environmental data on interactive maps, instead of only government agencies holding that data.",national,https://www.takiwa.co/,,,,,,Māori tech; indigenous data sovereignty; geospatial; mapping; startup,Te Kāhui Raraunga; Te Mana Raraunga,"takiwa.co homepage (verified via curl and WebFetch, HTTP 200)",,,,2026-08-05
Taranaki Regional Council Open Data,open-data,"Taranaki Regional Council's open data hub lets people download public datasets and story maps about biodiversity, rivers, resource consents, and iwi boundaries in the Taranaki region.",taranaki,https://opendata-trcnz.hub.arcgis.com/,,,,,,regional council; open data; environment; GIS,,"opendata-trcnz.hub.arcgis.com homepage (verified via curl, HTTP 200)",2015,,,2026-08-05
Tasman District Council GeoHUB,open-data,"Tasman District Council's GeoHUB is an open data catalogue where people can download the council's public GIS layers, like property and planning information, for the Tasman region.",tasman-nelson,https://geohub.tasman.govt.nz/,,,,,,district council; open data; GIS,,"geohub.tasman.govt.nz homepage (verified via curl, HTTP 200)",,,,2026-08-05
Te Au Pūngao,makerspaces / hackerspaces,"Te Au Pūngao is Marlborough's technology and innovation hub in Blenheim, run by Whiringa under contract to Marlborough District Council, offering co-working space, 3D printers, soldering stations and VR headsets, plus a microgrants programme to help local start-ups take their first steps.",marlborough,https://www.teaupungao.com,,https://www.linkedin.com/company/teaupungao/,,,,makerspace; coworking; innovation hub; Marlborough; microgrants,,"Scoop ""New Marlborough Tech Hub A 'Gamechanger'"" (31 Jul 2025); whiringa.com (verified via WebFetch); Weekly Voice article on the Te Au Pūngao microgrants programme; LinkedIn company page (Te Au Pūngao) verified via direct fetch, 2026-08-25",2025,true,,2026-08-06
